"","Chapter","Verse_Number","Text","Text_clean"
"1",3,1,"Fakkirhum le l-akhwaan achaan yasma’o kalaam al-hakuuma wa l-kubaaraat wa yitaabu’u kalaamhum. Wa khalli yabgo jaahiziin le yisawwu al-kheer fi kulli haal.","fakkirhum le lakhwaan achaan yasmao kalaam alhakuuma wa lkubaaraat wa yitaabuu kalaamhum wa khalli yabgo jaahiziin le yisawwu alkheer fi kulli haal"
"2",3,2,"Wa khalli ma yuguulu kalaam fasil foog ayyi naadum wa la yihaaruju. Wa khalli yihajju be nafas baarid wa be adab ma’a kulla l-naas.","wa khalli ma yuguulu kalaam fasil foog ayyi naadum wa la yihaaruju wa khalli yihajju be nafas baarid wa be adab maa kulla lnaas"
"3",3,3,"Khalli ma nanso kadar awwal aniina kula misilhum, jaahiliin wa aasiyiin. Awwal aniina muwaddiriin wa chahwaatna malakoona wa guluubna marbuutiin fi halaat al-dunya. Awwal aniina aaychiin be l-fasaala wa l-husud, wa gaa’idiin nakraho al-naas wa l-naas yakrahoona.","khalli ma nanso kadar awwal aniina kula misilhum jaahiliin wa aasiyiin awwal aniina muwaddiriin wa chahwaatna malakoona wa guluubna marbuutiin fi halaat aldunya awwal aniina aaychiin be lfasaala wa lhusud wa gaaidiin nakraho alnaas wa lnaas yakrahoona"
"4",3,4,"Wa laakin wakit Allah Munajjiina bayyan mahannatah wa mahabbatah,","wa laakin wakit allah munajjiina bayyan mahannatah wa mahabbatah"
"5",3,5,"hu najjaana. Wa da ma be sabab ayyi amal saalih al-sawweenaah laakin be sabab rahmatah hu. Wa hu khassalaana be l-waaluuda al-taaniye wa antaana haya jadiide be l-Ruuh al-Khudduus","hu najjaana wa da ma be sabab ayyi amal saalih alsawweenaah laakin be sabab rahmatah hu wa hu khassalaana be lwaaluuda altaaniye wa antaana haya jadiide be lruuh alkhudduus"
"6",3,6,"al-hu nazzalah foogna be kulla barakaatah be waasitat Munajjiina Isa al-Masiih.","alhu nazzalah foogna be kulla barakaatah be waasitat munajjiina isa almasiih"
"7",3,7,"Wa misil da, bigiina saalihiin be ni’matah wa aniina achmaaniin foog Rabbina kadar nawrusu al-haya al-abadiiye.","wa misil da bigiina saalihiin be nimatah wa aniina achmaaniin foog rabbina kadar nawrusu alhaya alabadiiye"
"8",3,8,"Wa l-kalaam da hagg. Wa nidoor kadar inta tifassir leehum kulla l-kalaam da achaan al-naas al-aamano be Allah yinkarubu be niiye waahide fi amal al-kheer. Kulla l-kalaam da sameh bilheen wa indah faayde le kulla l-naas.","wa lkalaam da hagg wa nidoor kadar inta tifassir leehum kulla lkalaam da achaan alnaas alaamano be allah yinkarubu be niiye waahide fi amal alkheer kulla lkalaam da sameh bilheen wa indah faayde le kulla lnaas"
"9",3,9,"Laakin angari’ min al-munaakhachaat al-ma induhum faayde misil munaakhachaat fi l-guram wa min al-mukhaasama wa l-mukhlaat fi tafsiir al-Tawraat. Kalaam misil da baatil wa ma indah faayde abadan.","laakin angari min almunaakhachaat alma induhum faayde misil munaakhachaat fi lguram wa min almukhaasama wa lmukhlaat fi tafsiir altawraat kalaam misil da baatil wa ma indah faayde abadan"
"10",3,10,"Wa ayyi naadum al-yihajji kalaam chig wa yifarrig beyah al-akhwaan, hazzirah marra waahide wa hazzirah wa marra taaniye wa ba’ad da, agta’ ma’aayah al-alaakha.","wa ayyi naadum alyihajji kalaam chig wa yifarrig beyah alakhwaan hazzirah marra waahide wa hazzirah wa marra taaniye wa baad da agta maaayah alalaakha"
"11",3,11,"Akiid ayyi naadum al-misil da, hu muwaddir wa khaati. Hu yijiib al-ikhaab fi raasah.","akiid ayyi naadum almisil da hu muwaddir wa khaati hu yijiib alikhaab fi raasah"
"12",3,12,"Nidoor nirassil leek Artimaas walla Tichiikus. Wa wakit waahid minhum yawsilak, a’asir nafsak achaan taji leyi fi hillit Nikuubulus. Ana chilt niiye nagood foogha tuul al-chite.","nidoor nirassil leek artimaas walla tichiikus wa wakit waahid minhum yawsilak aasir nafsak achaan taji leyi fi hillit nikuubulus ana chilt niiye nagood foogha tuul alchite"
"13",3,13,"Wa fi l-cheyy al-bukhuss akhwaanna Zeenaas al-muhaami wa Abuluus, a’asir nafsak achaan tisaa’idhum fi safarhum wa khalli cheyy ma yigassir leehum fi l-derib.","wa fi lcheyy albukhuss akhwaanna zeenaas almuhaami wa abuluus aasir nafsak achaan tisaaidhum fi safarhum wa khalli cheyy ma yigassir leehum fi lderib"
"14",3,14,"Wa khalli kulla akhwaanna ya’arfu kikkeef yinkarubu fi amal al-kheer achaan yisaa’udu al-naas al-hawjaaniin be l-sahiih. Wa misil da akhwaanna ma yabgo naas al-hayaathum ma indaha faayde.","wa khalli kulla akhwaanna yaarfu kikkeef yinkarubu fi amal alkheer achaan yisaaudu alnaas alhawjaaniin be lsahiih wa misil da akhwaanna ma yabgo naas alhayaathum ma indaha faayde"
"15",3,15,"Kulla l-naas al-ma’aayi yisallumuuk. Wa sallim kulla l-mu’miniin al-yihibbuuna. Aleekum kulluku al-ni’ma.","kulla lnaas almaaayi yisallumuuk wa sallim kulla lmuminiin alyihibbuuna aleekum kulluku alnima"
