"","Chapter","Verse_Number","Text","Text_clean"
"1",1,1,"Al-jawaab minni ana Yahuuza abid Isa al-Masiih wa akhu Yaakhuub. Wa naktib leeku intu al-naas al-Allah Abuuna naadaaku fi mahabbitah wa gaa’id yahfadku le Isa al-Masiih.","aljawaab minni ana yahuuza abid isa almasiih wa akhu yaakhuub wa naktib leeku intu alnaas alallah abuuna naadaaku fi mahabbitah wa gaaid yahfadku le isa almasiih"
"2",1,2,"Aleekum al-salaam wa l-rahma wa l-mahabba be katara.","aleekum alsalaam wa lrahma wa lmahabba be katara"
"3",1,3,"Ya akhwaani al-nihibbuku, min awwal itmanneet naktib leeku fi l-naja al-kullina nichaaruku foogha. Wa hassa’ anjabart naktib leeku be sur’a wa nigawwimku achaan tahmu al-iimaan al-Allah kallaf beyah al-saalihiin marra waahide wa nihaa’iiye.","ya akhwaani alnihibbuku min awwal itmanneet naktib leeku fi lnaja alkullina nichaaruku foogha wa hassa anjabart naktib leeku be sura wa nigawwimku achaan tahmu aliimaan alallah kallaf beyah alsaalihiin marra waahide wa nihaaiiye"
"4",1,4,"Fi naas waahidiin fasliin andasso ambeenaatku be achiir. Wa humman gaa’idiin yifassuru kalaam hana rahmat Allah be tariiga al-yihallulu beeha al-muharramaat wa yankuru Isa al-Masiih al-hu bas Siidna wa Rabbina. Wa min zamaan, al-Kitaab hajja be l-azaab al-yarjaahum.","fi naas waahidiin fasliin andasso ambeenaatku be achiir wa humman gaaidiin yifassuru kalaam hana rahmat allah be tariiga alyihallulu beeha almuharramaat wa yankuru isa almasiih alhu bas siidna wa rabbina wa min zamaan alkitaab hajja be lazaab alyarjaahum"
"5",1,5,"Wa nidoor nizakkirku be l-kalaam al-intu zaatku ta’arfuuh tamaam. Allah najja cha’abah wa maragaahum min balad Masir wa ba’adeen hu halak minhum al-naas al-ma mu’miniin.","wa nidoor nizakkirku be lkalaam alintu zaatku taarfuuh tamaam allah najja chaabah wa maragaahum min balad masir wa baadeen hu halak minhum alnaas alma muminiin"
"6",1,6,"Wa fakkuru fi l-malaa’ika al-abo ma ga’ado saabtiin fi sufuufhum wa khallo al-bakaan al-waajib leehum. Allah rabataahum be janaaziir al-abadan ma yingat’u wa khattaahum fi l-dalaam achaan yarjo yoom al-Hisaab al-aziim.","wa fakkuru fi lmalaaika alabo ma gaado saabtiin fi sufuufhum wa khallo albakaan alwaajib leehum allah rabataahum be janaaziir alabadan ma yingatu wa khattaahum fi ldalaam achaan yarjo yoom alhisaab alaziim"
"7",1,7,"Wa battaan, fakkuru fi l-mudun Saduum wa Gamuura wa l-hillaal al-jambuhum. Naashum kula misil al-malaa’ika dool ankarabo fi l-zina wa taaba’o chahwaat waahidiin al-mukhaalifiin le l-tabii’a. Wa achaan da, Allah sabba fooghum al-naar al-abadiiye wa humman bigo leena masal hana al-azaab.","wa battaan fakkuru fi lmudun saduum wa gamuura wa lhillaal aljambuhum naashum kula misil almalaaika dool ankarabo fi lzina wa taabao chahwaat waahidiin almukhaalifiin le ltabiia wa achaan da allah sabba fooghum alnaar alabadiiye wa humman bigo leena masal hana alazaab"
"8",1,8,"Wa l-naas al-andasso ambeenaatku dool misilhum. Humman yitaabu’u ahlaamhum wa yinajjusu jisimhum wa yaabo ma yasma’o kalaam al-sulta wa yuguulu kalaam fasil foog sukkaan al-majd.","wa lnaas alandasso ambeenaatku dool misilhum humman yitaabuu ahlaamhum wa yinajjusu jisimhum wa yaabo ma yasmao kalaam alsulta wa yuguulu kalaam fasil foog sukkaan almajd"
"9",1,9,"Wa fakkuru fi Mikaayiil. Hu kabiir al-malaa’ika wa laakin wakit hu gaa’id yikhaalif Ibliis wa yikhaalitah fi janaazit Muusa, hu ma dawwar yukhutt foog Ibliis tuhma hana kalaam fasil. Fi badalah, hu kallam leyah bas wa gaal «Allah yakhdab aleek».","wa fakkuru fi mikaayiil hu kabiir almalaaika wa laakin wakit hu gaaid yikhaalif ibliis wa yikhaalitah fi janaazit muusa hu ma dawwar yukhutt foog ibliis tuhma hana kalaam fasil fi badalah hu kallam leyah bas wa gaal allah yakhdab aleek"
"10",1,10,"Laakin al-naas dool yuguul kalaam fasil foog ayyi cheyy al-ma fihmooh. Wa ma induhum agul misil al-haywaanaat. Yitaabu’u ayyi cheyy al-yaji leehum fi fikirhum wa achaan da, akiid yahlako.","laakin alnaas dool yuguul kalaam fasil foog ayyi cheyy alma fihmooh wa ma induhum agul misil alhaywaanaat yitaabuu ayyi cheyy alyaji leehum fi fikirhum wa achaan da akiid yahlako"
"11",1,11,"Al-azaab yarjaahum. Humman chaalo derib hana Gaabiil. Humman chaalo ajala derib al-kidib hana Bal’aam achaan yalgo beyah ribah wa iso Allah misil Khuurah. Wa kan bigo misil Khuurah, akiid yahlako.","alazaab yarjaahum humman chaalo derib hana gaabiil humman chaalo ajala derib alkidib hana balaam achaan yalgo beyah ribah wa iso allah misil khuurah wa kan bigo misil khuurah akiid yahlako"
"12",1,12,"Wakit tulummu fi awaaziim al-acha al-akhuwi achaan tafraho fi mahabbat Allah, al-naas dool yitallufu al-ukhuuwa misil al-hujaar al-fi lubb al-bahar yitallufu al-markaba. Humman akkaaliin yaakulu ma’aaku bala khijile wa yifakkuru le nufuushum bas. Humman misil al-sahaab al-tusuugah al-riih al-chadiide laakin ma yusubb almi. Wa humman misil al-chadar al-abadan ma yalda iyaal, wa battaan mumallat, mayyit marra waahid.","wakit tulummu fi awaaziim alacha alakhuwi achaan tafraho fi mahabbat allah alnaas dool yitallufu alukhuuwa misil alhujaar alfi lubb albahar yitallufu almarkaba humman akkaaliin yaakulu maaaku bala khijile wa yifakkuru le nufuushum bas humman misil alsahaab altusuugah alriih alchadiide laakin ma yusubb almi wa humman misil alchadar alabadan ma yalda iyaal wa battaan mumallat mayyit marra waahid"
"13",1,13,"Uyuub al-naas dool waadihiin misil al-wasakh al-bichiilah al-mooj al-chadiid fi raas al-bahar. Humman misil nujuum raaykhiin wa Allah jahhaz leehum al-dalaam al-azrag al-ma indah hadd abadan.","uyuub alnaas dool waadihiin misil alwasakh albichiilah almooj alchadiid fi raas albahar humman misil nujuum raaykhiin wa allah jahhaz leehum aldalaam alazrag alma indah hadd abadan"
"14",1,14,"Wa battaan Akhnuukh al-min al-zurriiye al-saab’a hana Adam hajja be l-naas dool kalaam naazil min Allah. Wa hu gaal : Chiifu, Rabbina baji fi usut khaddaamiinah al-saalihiin al-ma binhasubu min al-katara","wa battaan akhnuukh almin alzurriiye alsaaba hana adam hajja be lnaas dool kalaam naazil min allah wa hu gaal  chiifu rabbina baji fi usut khaddaamiinah alsaalihiin alma binhasubu min alkatara"
"15",1,15,"achaan yihaasib kulla l-naas wa yi’aakhib kulla l-fasliin fi ayyi fasaala al-sawwooha. Wa hu yi’aakhib al-muznibiin al-fasliin fi ayyi kalaam al-fasil al-hajjooh fi Allah.","achaan yihaasib kulla lnaas wa yiaakhib kulla lfasliin fi ayyi fasaala alsawwooha wa hu yiaakhib almuznibiin alfasliin fi ayyi kalaam alfasil alhajjooh fi allah"
"16",1,16,"Wa l-naas dool chakkaayiin wa lawwaamiin. Humman yitaabu’u chahwaathum bas. Wa yikallumu be kibriya wa yachkuru al-naas be kidib achaan yalgo minhum faayde.","wa lnaas dool chakkaayiin wa lawwaamiin humman yitaabuu chahwaathum bas wa yikallumu be kibriya wa yachkuru alnaas be kidib achaan yalgo minhum faayde"
"17",1,17,"Ya akhwaani al-nihibbuku, fakkuru fi l-kalaam al-rusul hana Rabbina Isa al-Masiih gaalooh min awwal.","ya akhwaani alnihibbuku fakkuru fi lkalaam alrusul hana rabbina isa almasiih gaalooh min awwal"
"18",1,18,"Oorooku kadar fi l-zaman al-akhiir, fiyah chammaatiin al-yitaabu’u chahwaathum al-fasliin.","oorooku kadar fi lzaman alakhiir fiyah chammaatiin alyitaabuu chahwaathum alfasliin"
"19",1,19,"Humman bas al-naas al-yisabbubu ambeenaatku al-furga. Humman yitaabu’u fikir insaani bas wa ma induhum al-Ruuh al-Khudduus.","humman bas alnaas alyisabbubu ambeenaatku alfurga humman yitaabuu fikir insaani bas wa ma induhum alruuh alkhudduus"
